timestamp,name,X,Y,pitch,loaded,destination,Emergency,task-id
0,Bluestreak,15,20,270,false,,false,
0,Bumblebee,6,1,90,false,,false,
0,Hound,6,20,270,false,,false,
0,Ironhide,3,20,270,false,,false,
0,Jazz,9,1,90,false,,false,
0,Megatron,12,20,270,false,,false,
0,Optimus,3,1,90,false,,false,
0,Ratchet,18,1,90,false,,false,
0,RedAlert,18,20,270,false,,false,
0,Sideswipe,12,1,90,false,,false,
0,Smokescreen,9,20,270,false,,false,
0,Wheeljack,15,1,90,false,,false,
1,Bluestreak,15,19,270,false,,false,
1,Bumblebee,6,2,90,false,,false,
1,Hound,6,19,270,false,,false,
1,Ironhide,3,19,270,false,,false,
1,Jazz,9,2,90,false,,false,
1,Megatron,12,19,270,false,,false,
1,Optimus,3,2,90,false,,false,
1,Ratchet,18,2,90,false,,false,
1,RedAlert,18,19,270,false,,false,
1,Sideswipe,12,2,90,false,,false,
1,Smokescreen,9,19,270,false,,false,
1,Wheeljack,15,2,90,false,,false,
2,Bluestreak,15,18,270,false,,false,
2,Bumblebee,6,3,90,false,,false,
2,Hound,6,19,180,false,,false,
2,Ironhide,3,18,270,false,,false,
2,Jazz,9,2,0,false,,false,
2,Megatron,12,18,270,false,,false,
2,Optimus,3,3,90,false,,false,
2,Ratchet,18,3,90,false,,false,
2,RedAlert,18,18,270,false,,false,
2,Sideswipe,12,2,0,false,,false,
2,Smokescreen,9,18,270,false,,false,
2,Wheeljack,15,3,90,false,,false,
3,Bluestreak,15,18,0,false,,false,
3,Bumblebee,6,3,180,false,,false,
3,Hound,5,19,180,false,,false,
3,Ironhide,3,17,270,false,,false,
3,Jazz,10,2,0,false,,false,
3,Megatron,12,17,270,false,,false,
3,Optimus,3,4,90,false,,false,
3,Ratchet,18,4,90,false,,false,
3,RedAlert,18,17,270,false,,false,
3,Sideswipe,13,2,0,false,,false,
3,Smokescreen,9,18,180,false,,false,
3,Wheeljack,15,3,0,false,,false,
4,Bluestreak,16,18,0,false,,false,
4,Bumblebee,5,3,180,false,,false,
4,Hound,4,19,180,false,,false,
4,Ironhide,3,16,270,false,,false,
4,Jazz,11,2,0,false,,false,
4,Megatron,12,17,0,false,,false,
4,Optimus,3,5,90,false,,false,
4,Ratchet,18,5,90,false,,false,
4,RedAlert,18,16,270,false,,false,
4,Sideswipe,14,2,0,false,,false,
4,Smokescreen,8,18,180,false,,false,
4,Wheeljack,16,3,0,false,,false,
5,Bluestreak,17,18,0,false,,false,
5,Bumblebee,4,3,180,false,,false,
5,Hound,3,19,180,false,,false,
5,Ironhide,3,15,270,false,,false,
5,Jazz,12,2,0,false,,false,
5,Megatron,13,17,0,false,,false,
5,Optimus,3,6,90,false,,false,
5,Ratchet,18,6,90,false,,false,
5,RedAlert,18,15,270,false,,false,
5,Sideswipe,15,2,0,false,,false,
5,Smokescreen,7,18,180,false,,false,
5,Wheeljack,17,3,0,false,,false,
6,Bluestreak,18,18,0,false,,false,
6,Bumblebee,4,3,90,false,,false,
6,Hound,2,19,180,false,,false,
6,Ironhide,3,14,270,false,,false,
6,Jazz,13,2,0,false,,false,
6,Megatron,14,17,0,false,,false,
6,Optimus,3,6,180,false,,false,
6,Ratchet,18,7,90,false,,false,
6,RedAlert,18,14,270,false,,false,
6,Sideswipe,16,2,0,false,,false,
6,Smokescreen,6,18,180,false,,false,
6,Wheeljack,18,3,0,false,,false,
7,Bluestreak,19,18,0,false,,false,
7,Bumblebee,4,4,90,false,,false,
7,Hound,1,19,180,false,,false,
7,Ironhide,3,14,180,false,,false,
7,Jazz,14,2,0,false,,false,
7,Megatron,15,17,0,false,,false,
7,Optimus,2,6,180,false,,false,
7,Ratchet,18,8,90,false,,false,
7,RedAlert,18,14,0,false,,false,
7,Sideswipe,17,2,0,false,,false,
7,Smokescreen,5,18,180,false,,false,
7,Wheeljack,19,3,0,false,,false,
8,Bluestreak,19,18,270,false,,false,
8,Bumblebee,4,5,90,false,,false,
8,Hound,1,19,270,false,,false,
8,Ironhide,2,14,180,false,,false,
8,Jazz,15,2,0,false,,false,
8,Megatron,16,17,0,false,,false,
8,Optimus,2,6,180,true,Xiamen,false,Tiger-1
8,Ratchet,18,9,90,false,,false,
8,RedAlert,19,14,0,false,,false,
8,Sideswipe,18,2,0,false,,false,
8,Smokescreen,4,18,180,false,,false,
8,Wheeljack,19,3,90,false,,false,
9,Bluestreak,19,17,270,false,,false,
9,Bumblebee,4,6,90,false,,false,
9,Hound,1,19,0,false,,false,
9,Ironhide,2,14,180,true,Chengdu,false,Horse-1
9,Jazz,16,2,0,false,,false,
9,Megatron,16,17,270,false,,false,
9,Optimus,2,6,0,true,Xiamen,false,
9,Ratchet,18,10,90,false,,false,
9,RedAlert,19,14,0,true,Shanghai,false,Monkey-1
9,Sideswipe,19,2,0,false,,false,
9,Smokescreen,3,18,180,false,,false,
9,Wheeljack,19,4,90,false,,false,
10,Bluestreak,19,16,270,false,,false,
10,Bumblebee,4,7,90,false,,false,
10,Hound,2,19,0,false,,false,
10,Ironhide,2,14,270,true,Chengdu,false,
10,Jazz,17,2,0,false,,false,
10,Megatron,16,16,270,false,,false,
10,Optimus,3,6,0,true,Xiamen,false,
10,Ratchet,18,10,0,false,,false,
10,RedAlert,19,14,180,true,Shanghai,false,
10,Sideswipe,19,2,90,false,,false,
10,Smokescreen,2,18,180,false,,false,
10,Wheeljack,19,5,90,false,,false,
11,Bluestreak,19,15,270,false,,false,
11,Bumblebee,4,8,90,false,,false,
11,Hound,2,19,270,false,,false,
11,Ironhide,2,13,270,true,Chengdu,false,
11,Jazz,18,2,0,false,,false,
11,Megatron,16,15,270,false,,false,
11,Optimus,4,6,0,true,Xiamen,false,
11,Ratchet,19,10,0,false,,false,
11,RedAlert,18,14,180,true,Shanghai,false,
11,Sideswipe,19,3,90,false,,false,
11,Smokescreen,2,18,270,false,,false,
